age,gender,occupation,qqm,dsse_1,dsse_2,dsse_3,dsse_4,dsse_5,dsse_6,dsse_7,dsse_8,dsse_9,dsse_10,dsse_11,dsse_12,dsse_13,dsse_14,dsse_15,dsse_16,dsse_17,dsse_18,dsse_19,dsse_20,dsse_21,dsse_22,dsse_23,dsse_24,dsse_25,sise,open
54,1,2,2,4,3,5,3,3,3,2,3,2,1,3,3,3,4,4,5,5,3,3,4,3,2,1,4,2,4,4
19,1,1,2,4,3,3,4,2,4,3,2,3,3,4,3,3,4,4,5,5,2,5,4,4,2,2,3,2,2,2
59,2,2,2,4,4,2,3,2,4,3,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1
22,1,2,2,4,4,4,2,1,4,2,2,2,3,3,5,4,4,2,4,4,2,3,4,2,5,3,5,5,3,3
20,1,1,2,4,5,2,3,3,4,3,2,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,4,4,1,1
39,2,2,2,4,4,4,3,2,4,2,2,4,3,3,3,4,4,4,4,4,2,4,4,4,5,4,4,4,2,2
20,2,1,2,4,4,2,2,2,2,3,3,4,4,3,5,5,4,4,4,4,4,4,4,4,4,3,4,5,1,1
19,2,1,2,4,3,4,3,1,3,1,2,2,1,2,4,2,3,4,3,5,2,4,4,4,4,4,5,4,4,4
19,2,1,2,5,4,3,5,2,4,2,4,2,4,5,4,5,4,5,4,5,4,4,5,4,4,2,5,3,2,2
49,2,2,2,4,4,4,2,1,4,2,3,1,2,4,3,4,4,4,4,5,2,4,4,4,4,4,4,3,3,3
49,2,2,2,4,4,4,2,2,4,1,2,1,2,4,2,2,4,4,4,5,2,4,4,4,4,4,4,2,3,3
26,1,2,2,4,3,4,2,4,3,1,2,1,3,2,2,2,2,4,5,5,3,5,4,4,4,1,3,2,4,4
20,2,1,2,4,4,3,4,2,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3
19,2,5,2,5,4,3,4,2,5,1,2,1,5,4,4,5,5,3,2,4,4,5,4,4,5,5,5,5,2,2
20,2,1,2,4,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,2,3,3
22,2,1,2,4,4,3,4,3,5,2,3,4,2,3,2,3,5,3,4,4,3,4,4,4,3,1,4,2,2,2
19,2,1,2,2,3,3,1,1,2,1,1,2,2,3,4,4,5,4,3,5,3,4,3,2,5,4,5,3,3,3
20,2,1,2,4,2,3,2,2,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,4,3,1,1
21,2,1,2,4,4,5,4,4,4,1,4,2,4,2,4,4,4,4,3,5,4,4,4,4,4,2,3,2,3,3
19,1,1,2,4,2,4,3,1,4,1,3,1,1,2,4,1,5,5,5,5,3,3,5,1,4,3,5,1,4,4
20,2,1,2,4,4,4,4,1,4,1,3,1,2,2,2,2,4,4,4,4,2,4,4,2,4,2,4,2,4,4
20,2,1,2,4,2,4,4,1,4,1,3,2,3,2,4,4,4,5,5,4,2,4,4,4,4,2,4,4,3,3
19,2,1,2,4,4,4,3,2,4,3,2,2,2,3,3,4,3,5,5,4,3,2,4,2,4,4,5,5,2,2
22,1,1,2,4,3,4,4,2,4,2,4,1,3,4,4,4,4,4,4,4,2,4,5,4,4,2,5,2,4,4
19,2,1,2,3,2,5,3,2,3,2,3,5,4,5,4,5,4,4,4,4,3,5,4,4,4,4,4,3,2,2
20,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,2,2
20,2,1,2,5,4,4,4,4,5,1,4,1,2,4,4,4,5,5,5,5,1,4,4,4,5,1,5,1,3,3
54,2,4,2,4,4,4,4,3,4,3,3,3,2,4,4,3,4,4,5,5,3,3,5,4,3,4,4,3,3,3
50,2,2,2,4,2,4,3,2,4,2,3,2,2,4,4,3,4,4,4,5,2,3,4,3,4,2,5,4,3,3
47,2,2,2,4,4,1,3,3,1,4,3,4,2,3,4,4,4,4,5,1,3,3,4,4,5,4,1,5,4,4
48,1,2,2,5,4,5,1,1,4,1,1,1,1,2,1,1,5,5,5,5,1,1,3,1,4,2,5,3,5,5
52,2,2,2,5,4,4,1,1,3,3,1,2,2,3,1,3,4,3,4,5,3,4,5,4,5,3,5,4,4,4
